customer_id,city,signup_date,age,gender,total_trips,cancelled_trips,days_since_last_trip,churned,engagement_score,loyalty_score,persona,signup_channel,income_level
CUST00000,London,2023-04-04,19,Other,63,7,20,0,1.0,0.994,Tourist,Ads,high
CUST00001,Berlin,2023-01-20,26,Other,45,0,44,0,1.0,0.881,Business,Referral,medium
CUST00002,Milan,2024-07-03,45,Male,28,1,4,0,1.0,0.775,Business,Referral,medium
CUST00003,Berlin,2025-03-16,32,Other,54,3,7,0,1.0,0.938,Business,Ads,medium
CUST00004,Milan,2024-04-19,44,Male,24,2,33,0,1.0,0.75,Casual Rider,Organic,medium
CUST00005,London,2024-10-24,66,Male,31,3,1,0,1.0,0.794,Casual Rider,Organic,high
CUST00006,Amsterdam,2023-09-29,27,Male,34,4,12,0,1.0,0.812,Tourist,Referral,medium
CUST00007,London,2024-05-22,42,Male,50,0,52,0,1.0,0.912,Tourist,Organic,high
CUST00008,Milan,2024-10-05,34,Male,35,3,4,0,1.0,0.819,Casual Rider,Referral,medium
CUST00009,Barcelona,2023-11-09,23,Other,15,2,49,1,0.927,0.65,Tourist,Organic,low
CUST00010,Milan,2025-11-11,30,Other,31,2,6,0,1.0,0.794,Business,Referral,medium
CUST00011,Berlin,2023-09-01,67,Female,42,1,17,0,1.0,0.863,Business,Ads,medium
CUST00012,London,2025-03-31,42,Female,43,0,37,0,1.0,0.869,Casual Rider,Organic,high
CUST00013,Berlin,2024-04-05,41,Female,55,6,1,0,1.0,0.944,Commuter,Organic,medium
CUST00014,London,2025-09-07,56,Other,60,3,1,0,1.0,0.975,Commuter,Ads,high
CUST00015,Berlin,2025-08-12,47,Female,60,6,22,0,1.0,0.975,Tourist,Ads,medium
CUST00016,Amsterdam,2025-04-03,67,Male,46,6,18,0,1.0,0.887,Commuter,Referral,medium
CUST00017,Amsterdam,2023-10-17,43,Female,33,3,12,0,1.0,0.806,Business,Ads,medium
CUST00018,Milan,2024-02-27,63,Female,33,2,15,0,1.0,0.806,Commuter,Partnership,medium
CUST00019,Barcelona,2023-07-06,59,Female,34,2,30,0,1.0,0.812,Commuter,Organic,low
CUST00020,Berlin,2023-11-17,33,Other,35,4,36,1,1.0,0.819,Tourist,Partnership,medium
CUST00021,Milan,2024-06-30,43,Female,28,4,4,0,1.0,0.775,Commuter,Ads,medium
CUST00022,Milan,2024-04-03,49,Male,26,1,12,1,1.0,0.762,Business,Referral,medium
CUST00023,Berlin,2025-08-13,58,Male,42,0,15,0,1.0,0.863,Casual Rider,Referral,medium
CUST00024,Barcelona,2025-06-10,42,Other,34,5,8,0,1.0,0.812,Casual Rider,Organic,low
CUST00025,Milan,2023-11-11,18,Other,25,1,78,0,1.0,0.756,Business,Organic,medium
CUST00026,Amsterdam,2025-11-16,25,Female,17,0,0,0,1.0,0.706,Casual Rider,Ads,medium
CUST00027,Barcelona,2023-08-29,18,Other,37,0,7,0,1.0,0.831,Tourist,Ads,low
CUST00028,Milan,2023-05-31,24,Other,32,6,6,0,1.0,0.8,Tourist,Ads,medium
CUST00029,Berlin,2023-07-31,41,Male,30,1,28,0,1.0,0.787,Business,Organic,medium
CUST00030,Barcelona,2024-03-17,19,Male,44,0,39,0,1.0,0.875,Tourist,Organic,low
CUST00031,Berlin,2025-05-14,21,Male,77,0,19,0,1.0,1.0,Business,Referral,medium
CUST00032,Barcelona,2024-11-26,22,Other,20,2,4,0,1.0,0.725,Commuter,Ads,low
CUST00033,Barcelona,2024-04-23,53,Male,38,5,3,0,1.0,0.837,Tourist,Partnership,low
CUST00034,Berlin,2024-09-30,52,Other,58,7,17,0,1.0,0.962,Commuter,Organic,medium
CUST00035,Barcelona,2023-11-08,60,Other,23,0,50,0,1.0,0.744,Tourist,Partnership,low
CUST00036,Milan,2024-05-16,46,Male,20,2,50,1,0.998,0.724,Commuter,Ads,medium
CUST00037,London,2024-08-12,39,Male,33,3,1,0,1.0,0.806,Commuter,Ads,high
CUST00038,London,2024-03-10,22,Other,59,0,3,0,1.0,0.969,Business,Ads,high
CUST00039,London,2023-08-22,20,Female,43,4,5,0,1.0,0.869,Business,Ads,high
CUST00040,Amsterdam,2024-06-04,60,Female,56,6,41,0,1.0,0.95,Commuter,Ads,medium
CUST00041,Milan,2025-09-17,54,Female,24,0,10,0,1.0,0.75,Commuter,Partnership,medium
CUST00042,Barcelona,2023-01-07,30,Male,37,5,21,0,1.0,0.831,Business,Partnership,low
CUST00043,Amsterdam,2025-09-07,45,Female,46,5,14,0,1.0,0.887,Casual Rider,Referral,medium
CUST00044,London,2024-10-27,21,Female,37,5,67,0,1.0,0.831,Tourist,Referral,high
CUST00045,Berlin,2023-06-28,30,Male,53,0,57,1,1.0,0.931,Casual Rider,Ads,medium
CUST00046,Barcelona,2025-05-15,29,Female,28,3,8,0,1.0,0.775,Casual Rider,Ads,low
CUST00047,London,2023-09-08,46,Other,30,4,26,0,1.0,0.787,Business,Referral,high
CUST00048,Milan,2024-12-14,18,Male,33,5,29,0,1.0,0.806,Commuter,Ads,medium
CUST00049,Barcelona,2023-06-15,49,Female,24,1,7,1,1.0,0.75,Commuter,Partnership,low
CUST00050,London,2024-02-01,28,Female,63,8,23,1,1.0,0.994,Business,Partnership,high
CUST00051,Amsterdam,2023-09-06,68,Female,90,15,9,0,1.0,1.0,Tourist,Partnership,medium
CUST00052,Milan,2023-05-27,60,Other,28,2,17,0,1.0,0.775,Casual Rider,Ads,medium
CUST00053,Berlin,2024-02-17,36,Male,48,0,0,0,1.0,0.9,Business,Referral,medium
CUST00054,Amsterdam,2025-09-15,21,Male,42,6,5,0,1.0,0.863,Casual Rider,Ads,medium
CUST00055,London,2025-03-29,50,Male,37,0,16,0,1.0,0.831,Commuter,Referral,high
CUST00056,Milan,2025-05-09,22,Other,12,1,6,0,1.0,0.675,Commuter,Partnership,medium
CUST00057,London,2024-06-05,54,Male,58,0,72,1,1.0,0.962,Business,Referral,high
CUST00058,Barcelona,2024-08-16,60,Other,24,0,6,0,1.0,0.75,Tourist,Organic,low
CUST00059,Berlin,2023-08-02,60,Other,42,4,7,0,1.0,0.863,Tourist,Ads,medium
CUST00060,Amsterdam,2023-06-22,43,Male,68,5,6,0,1.0,1.0,Tourist,Partnership,medium
CUST00061,Amsterdam,2023-10-21,66,Male,55,0,2,0,1.0,0.944,Business,Partnership,medium
CUST00062,Milan,2024-03-06,54,Male,37,3,2,0,1.0,0.831,Business,Ads,medium
CUST00063,Milan,2023-09-28,34,Male,40,1,12,0,1.0,0.85,Tourist,Referral,medium
CUST00064,Berlin,2023-12-05,41,Female,40,2,21,1,1.0,0.85,Commuter,Partnership,medium
CUST00065,Milan,2023-04-14,63,Female,34,4,3,0,1.0,0.812,Business,Organic,medium
CUST00066,London,2024-08-22,26,Female,56,8,18,0,1.0,0.95,Business,Referral,high
CUST00067,Milan,2024-03-22,27,Female,29,2,17,0,1.0,0.781,Tourist,Ads,medium
CUST00068,Amsterdam,2025-07-22,31,Other,45,0,8,0,1.0,0.881,Tourist,Partnership,medium
CUST00069,Amsterdam,2024-09-06,21,Male,34,5,7,0,1.0,0.812,Casual Rider,Organic,medium
CUST00070,London,2024-07-11,18,Female,69,8,35,0,1.0,1.0,Commuter,Organic,high
CUST00071,Berlin,2023-05-19,65,Female,51,5,36,0,1.0,0.919,Casual Rider,Referral,medium
CUST00072,London,2024-07-15,22,Other,76,4,58,0,1.0,1.0,Commuter,Referral,high
CUST00073,Amsterdam,2025-07-26,55,Other,34,4,30,1,1.0,0.812,Commuter,Partnership,medium
CUST00074,Berlin,2025-02-04,20,Female,65,3,49,0,1.0,1.0,Tourist,Referral,medium
CUST00075,Amsterdam,2023-06-20,31,Other,42,7,2,1,1.0,0.863,Commuter,Referral,medium
CUST00076,Amsterdam,2024-11-14,67,Other,43,5,13,0,1.0,0.869,Casual Rider,Ads,medium
CUST00077,Berlin,2024-08-09,28,Male,55,5,30,1,1.0,0.944,Casual Rider,Referral,medium
CUST00078,Berlin,2025-09-22,65,Female,46,0,17,1,1.0,0.887,Casual Rider,Ads,medium
CUST00079,Amsterdam,2023-08-01,28,Other,30,2,2,0,1.0,0.787,Business,Partnership,medium
CUST00080,London,2023-11-24,48,Male,41,0,26,0,1.0,0.856,Commuter,Partnership,high
CUST00081,Amsterdam,2025-05-08,37,Male,45,6,1,1,1.0,0.881,Commuter,Referral,medium
CUST00082,Berlin,2024-02-22,43,Female,26,3,64,1,1.0,0.762,Tourist,Referral,medium
CUST00083,Amsterdam,2025-03-14,40,Other,24,1,1,0,1.0,0.75,Casual Rider,Organic,medium
CUST00084,London,2023-10-08,25,Female,69,1,14,0,1.0,1.0,Commuter,Organic,high
CUST00085,London,2025-08-30,24,Other,52,0,2,0,1.0,0.925,Casual Rider,Organic,high
CUST00086,Amsterdam,2023-05-31,45,Other,48,8,10,0,1.0,0.9,Business,Partnership,medium
CUST00087,Milan,2023-01-30,30,Female,48,2,72,1,1.0,0.9,Business,Partnership,medium
CUST00088,London,2025-10-11,51,Other,58,0,17,0,1.0,0.962,Commuter,Organic,high
CUST00089,Barcelona,2024-10-27,22,Other,38,3,26,0,1.0,0.837,Tourist,Organic,low
CUST00090,London,2024-03-07,64,Female,69,0,7,1,1.0,1.0,Tourist,Partnership,high
CUST00091,Amsterdam,2023-07-10,43,Other,44,3,21,0,1.0,0.875,Tourist,Ads,medium
CUST00092,Berlin,2023-07-15,44,Other,17,1,1,1,1.0,0.706,Casual Rider,Ads,medium
CUST00093,Milan,2025-06-22,54,Female,27,3,16,0,1.0,0.769,Casual Rider,Referral,medium
CUST00094,Amsterdam,2024-08-08,36,Male,30,5,38,1,1.0,0.787,Casual Rider,Organic,medium
CUST00095,Barcelona,2025-04-20,46,Female,43,4,11,1,1.0,0.869,Commuter,Partnership,low
CUST00096,Berlin,2025-10-23,60,Male,63,9,3,0,1.0,0.994,Tourist,Organic,medium
CUST00097,London,2023-03-15,66,Male,47,7,40,0,1.0,0.894,Tourist,Ads,high
CUST00098,Berlin,2024-04-24,27,Male,24,0,44,1,1.0,0.75,Business,Ads,medium
CUST00099,Barcelona,2024-04-26,57,Male,31,4,17,1,1.0,0.794,Casual Rider,Partnership,low
CUST00100,Milan,2024-07-19,30,Other,28,2,3,0,1.0,0.775,Casual Rider,Partnership,medium
CUST00101,Barcelona,2024-10-25,33,Male,45,1,24,0,1.0,0.881,Business,Referral,low
CUST00102,Barcelona,2023-01-07,32,Male,41,3,32,1,1.0,0.856,Casual Rider,Referral,low
CUST00103,Milan,2023-02-11,33,Male,25,2,18,0,1.0,0.756,Casual Rider,Ads,medium
