trip_id,customer_id,promo_id,redeemed_date,promo_cost
TRIP0084571,CUST02005,PROMO0029,2026-03-05,11.07
TRIP0001563,CUST00040,PROMO0020,2024-10-30,7.0
TRIP0116763,CUST02756,PROMO0032,2025-12-10,16.82
TRIP0004697,CUST00114,PROMO0005,2023-06-26,17.11
TRIP0054162,CUST01277,PROMO0004,2024-12-14,8.1
TRIP0017285,CUST00407,PROMO0003,2024-11-23,25.48
TRIP0061828,CUST01468,PROMO0023,2025-12-13,8.48
TRIP0051507,CUST01215,PROMO0010,2026-10-28,16.66
TRIP0037325,CUST00879,PROMO0034,2024-06-18,17.82
TRIP0022830,CUST00537,PROMO0012,2026-07-19,15.11
TRIP0028909,CUST00684,PROMO0012,2025-03-12,21.35
TRIP0012600,CUST00295,PROMO0019,2026-05-13,22.59
TRIP0095759,CUST02263,PROMO0027,2026-04-06,11.73
TRIP0076818,CUST01825,PROMO0030,2024-04-28,7.82
TRIP0000651,CUST00015,PROMO0028,2027-09-03,14.65
TRIP0019383,CUST00456,PROMO0026,2024-12-29,6.44
TRIP0035924,CUST00847,PROMO0027,2025-06-27,21.47
TRIP0003692,CUST00088,PROMO0035,2028-03-11,15.63
TRIP0105253,CUST02481,PROMO0033,2024-11-08,20.68
TRIP0113498,CUST02678,PROMO0037,2027-03-23,14.57
TRIP0027074,CUST00642,PROMO0030,2025-10-23,12.61
TRIP0089861,CUST02127,PROMO0038,2025-03-31,6.11
TRIP0083594,CUST01982,PROMO0010,2027-01-21,11.4
TRIP0085071,CUST02016,PROMO0037,2026-10-07,13.35
TRIP0084535,CUST02004,PROMO0025,2026-03-01,17.59
TRIP0018065,CUST00425,PROMO0004,2025-10-28,14.25
TRIP0081153,CUST01922,PROMO0009,2025-05-09,10.47
TRIP0037191,CUST00875,PROMO0000,2025-10-02,3.97
TRIP0092398,CUST02184,PROMO0014,2026-12-01,8.37
TRIP0012847,CUST00302,PROMO0034,2024-12-12,17.78
TRIP0116152,CUST02738,PROMO0009,2025-01-16,12.16
TRIP0002175,CUST00054,PROMO0031,2027-11-02,15.87
TRIP0018055,CUST00425,PROMO0017,2025-04-24,23.82
TRIP0010394,CUST00244,PROMO0031,2025-06-30,23.28
TRIP0103688,CUST02447,PROMO0030,2024-06-05,6.75
TRIP0074009,CUST01760,PROMO0007,2025-01-23,10.83
