promo_id,promo_type,discount_value,start_date,end_date
PROMO0000,loyalty,7.26,2024-11-15,2024-11-26
PROMO0001,flat,8.92,2024-07-09,2024-07-18
PROMO0002,percentage,29.85,2024-11-11,2024-12-03
PROMO0003,loyalty,25.22,2024-03-09,2024-04-30
PROMO0004,flat,15.07,2025-11-19,2026-01-03
PROMO0005,percentage,20.5,2025-10-06,2025-11-09
PROMO0006,loyalty,25.83,2024-05-29,2024-06-09
PROMO0007,loyalty,17.97,2025-05-17,2025-06-22
PROMO0008,loyalty,21.0,2025-03-09,2025-04-07
PROMO0009,percentage,11.89,2025-09-20,2025-10-14
PROMO0010,flat,15.83,2025-04-13,2025-04-25
PROMO0011,percentage,11.14,2025-09-04,2025-10-02
PROMO0012,percentage,20.0,2025-05-19,2025-05-27
PROMO0013,percentage,5.53,2024-09-14,2024-10-29
PROMO0014,percentage,8.86,2025-12-18,2026-02-06
PROMO0015,loyalty,18.25,2025-08-21,2025-09-01
PROMO0016,loyalty,24.3,2025-10-21,2025-10-31
PROMO0017,flat,24.64,2024-07-14,2024-08-22
PROMO0018,flat,12.93,2025-09-16,2025-11-13
PROMO0019,flat,20.83,2024-01-01,2024-01-16
PROMO0020,loyalty,8.3,2025-03-01,2025-04-10
PROMO0021,percentage,10.01,2025-05-04,2025-06-02
PROMO0022,percentage,12.66,2024-02-26,2024-03-17
PROMO0023,percentage,8.18,2025-01-31,2025-03-03
PROMO0024,loyalty,8.62,2024-02-01,2024-03-25
PROMO0025,flat,19.81,2025-09-20,2025-10-20
PROMO0026,percentage,9.9,2025-02-26,2025-03-10
PROMO0027,flat,23.06,2024-04-18,2024-05-05
PROMO0028,percentage,14.19,2025-08-02,2025-09-20
PROMO0029,flat,20.52,2025-07-26,2025-08-20
PROMO0030,loyalty,13.34,2024-06-18,2024-08-09
PROMO0031,percentage,22.45,2024-12-27,2025-02-05
PROMO0032,loyalty,27.45,2025-10-10,2025-11-06
PROMO0033,percentage,29.86,2024-02-06,2024-02-20
PROMO0034,percentage,17.87,2025-10-09,2025-11-18
PROMO0035,percentage,28.66,2025-10-03,2025-10-20
PROMO0036,percentage,11.69,2025-03-16,2025-04-18
PROMO0037,percentage,26.16,2025-01-14,2025-01-21
PROMO0038,flat,11.28,2025-09-18,2025-11-13
PROMO0039,percentage,21.81,2025-06-17,2025-07-27
